Oil #1,Oil #2,Oil #3,Outcome
Clear Oil,Black Oil,Black Oil,Acrimony
Clear Oil,Violet Oil,Black Oil,Acuity
Azure Oil,Violet Oil,Black Oil,Adamant
Opalescent Oil,Sepia Oil,Black Oil,Adder's Touch
Opalescent Oil,Indigo Oil,Crimson Oil,Adjacent Animosity
Opalescent Oil,Sepia Oil,Azure Oil,Admonisher
Verdant Oil,Violet Oil,Black Oil,Aggressive Bastion
Clear Oil,Sepia Oil,Sepia Oil,Agility
Clear Oil,Clear Oil,Clear Oil,Alacrity
Amber Oil,Azure Oil,Black Oil,Ambidexterity
Opalescent Oil,Amber Oil,Azure Oil,Amplify
Clear Oil,Sepia Oil,Verdant Oil,Ancestral Knowledge
Clear Oil,Clear Oil,Black Oil,Annihilation
Golden Oil,Golden Oil,Indigo Oil,Anointed Flesh
Golden Oil,Violet Oil,Black Oil,Arcane Capacitor
Silver Oil,Silver Oil,Amber Oil,Arcane Chemistry
Golden Oil,Crimson Oil,Crimson Oil,Arcane Expanse
Verdant Oil,Crimson Oil,Crimson Oil,Arcane Focus
Clear Oil,Teal Oil,Black Oil,Arcane Guarding
Silver Oil,Azure Oil,Black Oil,Arcane Potency
Clear Oil,Silver Oil,Silver Oil,Arcane Sanctuary
Silver Oil,Amber Oil,Amber Oil,Arcane Will
Clear Oil,Crimson Oil,Black Oil,Arcanist's Dominion
Clear Oil,Clear Oil,Silver Oil,Arcing Blows
Verdant Oil,Verdant Oil,Azure Oil,Arsonist
Opalescent Oil,Golden Oil,Sepia Oil,Art of the Gladiator
Sepia Oil,Crimson Oil,Crimson Oil,"Ash, Frost and Storm"
Golden Oil,Golden Oil,Violet Oil,Aspect of Stone
Amber Oil,Verdant Oil,Verdant Oil,Aspect of the Eagle
Violet Oil,Violet Oil,Crimson Oil,Aspect of the Lynx
Opalescent Oil,Golden Oil,Black Oil,Assassination
Clear Oil,Indigo Oil,Black Oil,Assured Strike
Silver Oil,Indigo Oil,Violet Oil,Asylum
Clear Oil,Golden Oil,Sepia Oil,Atrophy
Clear Oil,Opalescent Oil,Opalescent Oil,Avatar of the Hunt
Clear Oil,Silver Oil,Teal Oil,Backstabbing
Opalescent Oil,Azure Oil,Violet Oil,Ballistics
Indigo Oil,Violet Oil,Crimson Oil,Bannerman
Opalescent Oil,Opalescent Oil,Golden Oil,Barbarism
Sepia Oil,Teal Oil,Indigo Oil,Bastion Breaker
Sepia Oil,Verdant Oil,Azure Oil,Battle Rouse
Clear Oil,Clear Oil,Sepia Oil,Beef
Clear Oil,Opalescent Oil,Sepia Oil,Berserking
Opalescent Oil,Verdant Oil,Black Oil,Blacksmith's Clout
Clear Oil,Opalescent Oil,Violet Oil,Blade Barrier
Clear Oil,Silver Oil,Sepia Oil,Blade Master
Silver Oil,Sepia Oil,Azure Oil,Blade of Cunning
Amber Oil,Amber Oil,Crimson Oil,Bladedancer
Clear Oil,Opalescent Oil,Verdant Oil,Blast Radius
Clear Oil,Verdant Oil,Crimson Oil,Blast Waves
Opalescent Oil,Opalescent Oil,Silver Oil,Blood Drinker
Opalescent Oil,Silver Oil,Azure Oil,Blood Siphon
Golden Oil,Amber Oil,Crimson Oil,Bloodless
Silver Oil,Azure Oil,Azure Oil,Bloodletting
Silver Oil,Teal Oil,Crimson Oil,Blunt Trauma
Verdant Oil,Azure Oil,Azure Oil,Bone Breaker
Golden Oil,Violet Oil,Violet Oil,Born to Fight
Indigo Oil,Violet Oil,Black Oil,Brand Equity
Opalescent Oil,Opalescent Oil,Violet Oil,Bravery
Golden Oil,Verdant Oil,Azure Oil,Breath of Flames
Golden Oil,Azure Oil,Violet Oil,Breath of Lightning
Silver Oil,Silver Oil,Teal Oil,Breath of Rime
