Oil #1,Oil #2,Outcome
Clear Oil,Clear Oil,Your Chilling Towers deal 25% increased Damage
Indigo Oil,Violet Oil,Your Meteor Towers create Burning Ground for 3 seconds on Hit
Clear Oil,Verdant Oil,Your Meteor Towers deal 25% increased Damage
Silver Oil,Silver Oil,Your Summoning Towers summon 2 additional Minions
Clear Oil,Silver Oil,Your Arc Towers repeats 1 additional Times
Silver Oil,Black Oil,Your Empowering Towers also grant 25% increased Damage
Crimson Oil,Crimson Oil,Your Meteor Towers always Stun
Sepia Oil,Verdant Oil,Minions summoned by Your Summoning Towers have 25% increased Damage
Amber Oil,Indigo Oil,Your Arc Towers have 20% chance to inflict Sap
Golden Oil,Golden Oil,All Towers in range of your Empowering Towers have 50% chance to deal Double Damage
Opalescent Oil,Sepia Oil,Your Fireball Towers fire an additional 2 Projectiles
Silver Oil,Indigo Oil,Your Lightning Storm Towers create Storms centred on Enemies
Violet Oil,Violet Oil,Your Chilling Towers have 25% increased effect of Chill
Opalescent Oil,Silver Oil,Your Chilling Towers freeze enemies for 0.2 seconds while they are affected by chilling beams
Teal Oil,Black Oil,Your Imbuing Towers have 25% increased Range
Silver Oil,Violet Oil,Your Empowering Towers also grant 20% increased Cast Speed
Silver Oil,Teal Oil,Minions summoned by Your Summoning Towers have 50% increased Life
Teal Oil,Violet Oil,Your Scout Towers have 25% increased Range
Opalescent Oil,Amber Oil,Your Flamethrower Towers have 15% increased Cast Speed
Verdant Oil,Indigo Oil,Your Freezebolt Towers have 20% chance to inflict Brittle
Amber Oil,Violet Oil,Your Flamethrower Towers have 25% increased Range
Opalescent Oil,Black Oil,Minions summoned by Your Sentinel Towers have 50% increased Life
Indigo Oil,Indigo Oil,Minions summoned by Your Sentinel Towers Leech 2% of Damage as Life
Clear Oil,Amber Oil,Your Fireball Towers deal 25% increased Damage
Clear Oil,Golden Oil,Your Shock Nova Towers have 25% increased effect of Shock
Indigo Oil,Black Oil,Minions summoned by Your Scout Towers inflict Malediction on Hit
Silver Oil,Amber Oil,Your Temporal Towers effects decay 25% slower
Sepia Oil,Crimson Oil,Your Lightning Storm Towers have 25% increased Range
Amber Oil,Azure Oil,Your Imbuing Towers have 25% increased Effect
Golden Oil,Black Oil,Your Shock Nova Towers repeats 2 additional Times
